hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,128,32,0.05,3,0.0,0.8938979963570127,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,4,0.16,0.8964784456587735,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,128,32,0.05,5,0.29411764705882354,0.9099878567091683,0.2745478774499511,0.24028805407637444,0.9275956284153005,0.5714285714285714,0.4444444444444444,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.7091681845780207,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.8176988463873709,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.8522313296903461,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,4,0.14285714285714285,0.8359137826350941,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,512,32,0.05,5,0.0,0.8533697632058288,0.2400818602739218,0.24335361540763287,0.9001214329083181,0.7,0.3888888888888889,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.7439024390243902,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,2,0.5,0.975609756097561,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,3,0.3333333333333333,0.9634146341463414,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,4,0.0,0.9024390243902439,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,16,0.05,5,0.0,0.926829268292683,0.029896073120218376,0.0651016829084414,1.0,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,1,0.0,0.6829268292682927,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,2,0.6666666666666666,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,3,0.0,0.9878048780487805,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,4,0.0,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,16,0.05,5,0.0,1.0,0.03456017156412005,0.07591774101244077,0.9634146341463414,0.5,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.6646341463414634,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,2,0.0,0.6951219512195123,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.6951219512195121,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.6890243902439025,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,16,0.05,5,0.6666666666666666,0.9390243902439024,0.03537424077685017,0.06876210186131719,0.975609756097561,0.0,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.6707317073170732,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.6829268292682927,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.6646341463414634,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,4,0.0,0.45121951219512196,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,16,0.05,5,0.0,0.6585365853658537,0.036184848561685426,0.08260070042918094,0.45121951219512196,NaN,0.0,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.4634146341463415,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,2,0.0,0.46341463414634143,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,3,0.0,0.7682926829268292,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,4,0.0,0.8414634146341464,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,32,32,0.05,5,0.0,0.9024390243902439,0.03192846319817328,0.0747868145185057,0.9756097560975611,1.0,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,1,0.5,0.6097560975609756,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,2,0.5,0.8170731707317074,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,3,0.4,0.7804878048780488,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,4,0.4,0.7560975609756098,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,64,32,0.05,5,0.2857142857142857,0.7317073170731707,0.0355126377414278,0.0645173964988557,0.7256097560975611,0.3333333333333333,0.5,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,1,0.0,0.6951219512195123,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,2,0.5,0.9512195121951219,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,3,1.0,0.9024390243902439,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,4,0.6666666666666666,0.8902439024390244,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,128,32,0.05,5,1.0,0.8902439024390244,0.033746186287340496,0.0849641573011826,0.9878048780487805,0.6666666666666666,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,1,0.0,0.75,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,2,0.0,0.975609756097561,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
32,8,3,relu,Dense,512,32,0.05,3,0.0,0.9634146341463414,0.03277614857169711,0.06290365343559208,1.0,1.0,1.0,0.05,svae,ecoli
