hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,512,16,0.05,3,0.25,0.9672131147540983,0.21647000169259956,0.23987643293017058,0.7424863387978142,1.0,0.5,0.01,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,4,0.2857142857142857,0.83948087431694,0.21647000169259956,0.23987643293017058,0.7424863387978142,1.0,0.5,0.01,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,5,0.4,0.978825136612022,0.21647000169259956,0.23987643293017058,0.7424863387978142,1.0,0.5,0.01,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.7172131147540983,0.233228134649653,0.2769846862465659,0.7459016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.6871584699453551,0.233228134649653,0.2769846862465659,0.7459016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.6830601092896175,0.233228134649653,0.2769846862465659,0.7459016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,4,0.0,0.6775956284153005,0.233228134649653,0.2769846862465659,0.7459016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,512,16,0.05,5,0.0,0.8743169398907104,0.233228134649653,0.2769846862465659,0.7459016393442623,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,1,0.12121212121212122,0.9008803885853065,0.2657844079134808,0.3097104207722494,0.7531876138433515,0.5,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,2,0.21739130434782608,0.8957194899817851,0.2657844079134808,0.3097104207722494,0.7531876138433515,0.5,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,3,0.1875,0.9057377049180328,0.2657844079134808,0.3097104207722494,0.7531876138433515,0.5,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,4,0.17142857142857143,0.9020947176684881,0.2657844079134808,0.3097104207722494,0.7531876138433515,0.5,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,5,0.175,0.9087735276259866,0.2657844079134808,0.3097104207722494,0.7531876138433515,0.5,0.2222222222222222,0.05,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.894808743169399,0.2214573741439643,0.26096033250935796,0.49043715846994534,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,2,0.08,0.8886612021857924,0.2214573741439643,0.26096033250935796,0.49043715846994534,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,3,0.09090909090909091,0.9187158469945355,0.2214573741439643,0.26096033250935796,0.49043715846994534,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,4,0.0,0.889344262295082,0.2214573741439643,0.26096033250935796,0.49043715846994534,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,5,0.05714285714285714,0.9023224043715846,0.2214573741439643,0.26096033250935796,0.49043715846994534,NaN,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,1,0.0,0.9562841530054645,0.22952582026392426,0.2652193741215058,0.7452185792349726,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,2,0.0,0.9057377049180327,0.22952582026392426,0.2652193741215058,0.7452185792349726,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,3,0.0,0.9344262295081968,0.22952582026392426,0.2652193741215058,0.7452185792349726,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,4,0.0,0.924863387978142,0.22952582026392426,0.2652193741215058,0.7452185792349726,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,32,32,0.05,5,0.08,0.9467213114754098,0.22952582026392426,0.2652193741215058,0.7452185792349726,NaN,0.0,0.005,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,1,0.0,0.48618700667881,0.2600878658207816,0.3036347131714438,0.920916818457802,0.42857142857142855,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,2,0.07142857142857142,0.8636915604128718,0.2600878658207816,0.3036347131714438,0.920916818457802,0.42857142857142855,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,3,0.13793103448275862,0.9327565270188222,0.2600878658207816,0.3036347131714438,0.920916818457802,0.42857142857142855,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,4,0.1875,0.9332119004250151,0.2600878658207816,0.3036347131714438,0.920916818457802,0.42857142857142855,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,5,0.16666666666666666,0.9354887674559804,0.2600878658207816,0.3036347131714438,0.920916818457802,0.42857142857142855,0.3333333333333333,0.05,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,1,0.3333333333333333,0.907103825136612,0.2438929779088088,0.2968860680926073,0.7390710382513661,0.0,0.0,0.01,svae,cardiotocography
32,8,3,relu,Dense,64,32,0.05,2,0.13333333333333333,0.8469945355191256,0.2438929779088088,0.2968860680926073,0.7390710382513661,0.0,0.0,0.01,svae,cardiotocography
