hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,auc,auc2,ar,i,model,dataset
32,8,3,relu,Dense,1024,16,0.1,6,0.751297257227576,0.8169014084507042,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.8320978502594515,0.9523721275018531,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.9204966641957005,0.9833209785025946,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.8876945885841364,0.9479243884358785,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.9047442550037064,0.9703484062268346,0.05,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5707931801334322,0.5657894736842105,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.7787249814677539,0.7702001482579689,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.7385100074128985,0.7609340252038548,0.01,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5063009636767977,0.6052631578947368,0.005,6,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8576723498888066,0.8335804299481098,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9453298739807264,0.9570051890289104,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9810971089696072,0.9549666419570052,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.9362490733876947,0.946997776130467,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.9825796886582654,0.9844329132690882,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9481097108969607,0.9848035581912528,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9899925871015567,0.9911045218680504,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9996293550778353,1.0,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9907338769458858,0.9951816160118606,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9892512972572275,0.9794292068198666,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8876945885841365,0.7183098591549296,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9191994069681245,0.8093031875463307,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9451445515196442,0.765011119347665,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.5730170496664194,0.8039288361749445,0.005,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.6237954040029652,0.5719051148999259,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.6130467012601928,0.6710526315789473,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8421052631578947,0.7861378799110453,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.782060785767235,0.7987398072646404,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.8157894736842106,0.823943661971831,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.8057820607857672,0.8057820607857673,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.8776871756856931,0.8773165307635286,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.9021497405485546,0.8604521868050408,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.8747220163083765,0.86527057079318,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.8843587842846554,0.8713862120088955,0.05,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5,0.5189028910303929,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.49944403261675324,0.653076352853966,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.6123054114158637,0.6515937731653078,0.01,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5189028910303929,0.7038547071905115,0.005,7,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.9240177909562639,0.9544106745737583,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9796145292809488,0.9549666419570051,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9534840622683468,0.9699777613046701,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.9781319495922906,0.9803558191252781,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.9781319495922906,0.962194217939214,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9510748702742772,0.9636767976278725,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9673832468495183,0.9749814677538918,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9888806523350631,0.9899925871015567,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9944403261675315,0.9829503335804299,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9888806523350631,0.9783172720533729,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.7524091919940696,0.8719421793921422,0.01,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9310600444773907,0.9464418087472202,0.01,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9510748702742773,0.971830985915493,0.01,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8597108969607116,0.9162342475908081,0.005,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.618421052631579,0.6973684210526316,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.63472942920682,0.6973684210526316,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8087472201630838,0.7716827279466273,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.7802075611564122,0.8113417346182357,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.8254262416604892,0.7809488510007413,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.9190140845070423,0.842290585618977,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.9201260192735359,0.8332097850259451,0.05,8,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.9130837657524091,0.8332097850259451,0.05,8,svae,breast-cancer-wisconsin
