hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,lklh,1,0.9062268346923648,0.005,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9206819866567829,0.005,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9703484062268347,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9588584136397331,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.963306152705708,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9673832468495182,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9644180874722016,0.05,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8843587842846553,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.8669384729429207,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.8724981467753891,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.8769458858413639,0.01,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.6708673091178651,0.005,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.6893995552260934,0.005,6,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9625648628613788,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9848035581912528,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9892512972572276,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9907338769458858,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.9951816160118607,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9469977761304671,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9481097108969607,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9436619718309859,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.933283914010378,0.01,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.862490733876946,0.005,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.8669384729429207,0.005,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.6148999258710155,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.6282431430689399,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.6160118606375092,0.05,7,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.6593773165307635,0.05,7,svae,breast-cancer-wisconsin
