hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
8,16,5,leakyrelu,ResDense,1024,64,2,0.14285714285714285,0.7864057239057269,autoencoder,abalone
8,16,5,leakyrelu,ResDense,1024,64,3,0.13953488372093023,0.7925084175084205,autoencoder,abalone
8,16,5,leakyrelu,ResDense,1024,64,4,0.21739130434782608,0.8164983164983196,autoencoder,abalone
8,16,5,leakyrelu,ResDense,1024,64,5,0.3050847457627119,0.8092382154882187,autoencoder,abalone
16,16,5,leakyrelu,ResDense,1024,64,1,0.0,0.9097222222222238,autoencoder,abalone
16,16,5,leakyrelu,ResDense,1024,64,2,0.06896551724137931,0.6627735690235717,autoencoder,abalone
16,16,5,leakyrelu,ResDense,1024,64,3,0.125,0.6450968013468039,autoencoder,abalone
16,16,5,leakyrelu,ResDense,1024,64,4,0.23529411764705882,0.6204755892255918,autoencoder,abalone
16,16,5,leakyrelu,ResDense,1024,64,5,0.24242424242424243,0.6304713804713828,autoencoder,abalone
32,16,5,leakyrelu,ResDense,1024,64,1,0.0,0.6964436026936056,autoencoder,abalone
32,16,5,leakyrelu,ResDense,1024,64,2,0.08333333333333333,0.8679503367003397,autoencoder,abalone
32,16,5,leakyrelu,ResDense,1024,64,3,0.15384615384615385,0.8251262626262658,autoencoder,abalone
32,16,5,leakyrelu,ResDense,1024,64,4,0.27586206896551724,0.8111321548821581,autoencoder,abalone
32,16,5,leakyrelu,ResDense,1024,64,5,0.23529411764705882,0.8128156565656598,autoencoder,abalone
8,4,3,leakyrelu,Dense,1024,64,1,0.3939393939393939,0.8703703703703735,ffMem,abalone
8,4,3,leakyrelu,Dense,1024,64,2,0.4,0.8746843434343465,ffMem,abalone
8,4,3,leakyrelu,Dense,1024,64,3,0.3826086956521739,0.8497474747474779,ffMem,abalone
8,4,3,leakyrelu,Dense,1024,64,4,0.3697478991596639,0.8821548821548852,ffMem,abalone
8,4,3,leakyrelu,Dense,1024,64,5,0.36065573770491804,0.872895622895626,ffMem,abalone
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.8863636363636395,ffMem,abalone
16,4,3,leakyrelu,Dense,1024,64,2,0.1875,0.8863636363636394,ffMem,abalone
16,4,3,leakyrelu,Dense,1024,64,3,0.45161290322580644,0.8970959595959628,ffMem,abalone
16,4,3,leakyrelu,Dense,1024,64,4,0.45161290322580644,0.9141414141414173,ffMem,abalone
16,4,3,leakyrelu,Dense,1024,64,5,0.5060240963855421,0.9141414141414171,ffMem,abalone
32,4,3,leakyrelu,Dense,1024,64,1,0.11428571428571428,0.6677188552188537,ffMem,abalone
32,4,3,leakyrelu,Dense,1024,64,2,0.37894736842105264,0.8413299663299655,ffMem,abalone
32,4,3,leakyrelu,Dense,1024,64,3,0.34375,0.8348063973063964,ffMem,abalone
32,4,3,leakyrelu,Dense,1024,64,4,0.26993865030674846,0.8552188552188545,ffMem,abalone
32,4,3,leakyrelu,Dense,1024,64,5,0.25882352941176473,0.8272306397306388,ffMem,abalone
8,16,3,leakyrelu,Dense,1024,64,1,0.2127659574468085,0.7649410774410806,ffMem,abalone
8,16,3,leakyrelu,Dense,1024,64,2,0.3541666666666667,0.7725168350168382,ffMem,abalone
8,16,3,leakyrelu,Dense,1024,64,3,0.3883495145631068,0.8283880471380503,ffMem,abalone
8,16,3,leakyrelu,Dense,1024,64,4,0.3888888888888889,0.8288089225589258,ffMem,abalone
8,16,3,leakyrelu,Dense,1024,64,5,0.38181818181818183,0.8367003367003398,ffMem,abalone
16,16,3,leakyrelu,Dense,1024,64,1,0.21428571428571427,0.5747053872053883,ffMem,abalone
16,16,3,leakyrelu,Dense,1024,64,2,0.3548387096774194,0.5783880471380496,ffMem,abalone
16,16,3,leakyrelu,Dense,1024,64,3,0.37681159420289856,0.6375210437710466,ffMem,abalone
16,16,3,leakyrelu,Dense,1024,64,4,0.3488372093023256,0.6665614478114507,ffMem,abalone
16,16,3,leakyrelu,Dense,1024,64,5,0.367816091954023,0.6765572390572419,ffMem,abalone
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.60869107744108,ffMem,abalone
32,16,3,leakyrelu,Dense,1024,64,2,0.4057971014492754,0.7131734006734037,ffMem,abalone
32,16,3,leakyrelu,Dense,1024,64,3,0.4722222222222222,0.6867634680134709,ffMem,abalone
32,16,3,leakyrelu,Dense,1024,64,4,0.5063291139240507,0.7394781144781175,ffMem,abalone
32,16,3,leakyrelu,Dense,1024,64,5,0.42857142857142855,0.8028198653198684,ffMem,abalone
8,4,4,leakyrelu,Dense,1024,64,1,0.09411764705882353,0.5474537037037028,ffMem,abalone
8,4,4,leakyrelu,Dense,1024,64,2,0.0847457627118644,0.5630260942760922,ffMem,abalone
8,4,4,leakyrelu,Dense,1024,64,3,0.1807909604519774,0.5511363636363623,ffMem,abalone
8,4,4,leakyrelu,Dense,1024,64,4,0.19718309859154928,0.5903829966329992,ffMem,abalone
8,4,4,leakyrelu,Dense,1024,64,5,0.18025751072961374,0.6132154882154865,ffMem,abalone
16,4,4,leakyrelu,Dense,1024,64,1,0.1794871794871795,0.5511363636363644,ffMem,abalone
16,4,4,leakyrelu,Dense,1024,64,2,0.2,0.5631313131313154,ffMem,abalone
16,4,4,leakyrelu,Dense,1024,64,3,0.19298245614035087,0.6818181818181847,ffMem,abalone
16,4,4,leakyrelu,Dense,1024,64,4,0.17959183673469387,0.6691919191919218,ffMem,abalone
16,4,4,leakyrelu,Dense,1024,64,5,0.17886178861788618,0.6839225589225616,ffMem,abalone
32,4,4,leakyrelu,Dense,1024,64,1,0.4,0.6603535353535377,ffMem,abalone
32,4,4,leakyrelu,Dense,1024,64,2,0.2268041237113402,0.7605218855218885,ffMem,abalone
32,4,4,leakyrelu,Dense,1024,64,3,0.29333333333333333,0.876578282828286,ffMem,abalone
32,4,4,leakyrelu,Dense,1024,64,4,0.32592592592592595,0.8697390572390604,ffMem,abalone
32,4,4,leakyrelu,Dense,1024,64,5,0.352,0.8708964646464677,ffMem,abalone
8,16,4,leakyrelu,Dense,1024,64,1,0.3111111111111111,0.5985900673400693,ffMem,abalone
8,16,4,leakyrelu,Dense,1024,64,2,0.36065573770491804,0.8045033670033701,ffMem,abalone
8,16,4,leakyrelu,Dense,1024,64,3,0.31654676258992803,0.8780513468013499,ffMem,abalone
8,16,4,leakyrelu,Dense,1024,64,4,0.2913907284768212,0.8624789562289594,ffMem,abalone
8,16,4,leakyrelu,Dense,1024,64,5,0.275,0.7606271043771075,ffMem,abalone
16,16,4,leakyrelu,Dense,1024,64,1,0.4,0.5702861952861945,ffMem,abalone
16,16,4,leakyrelu,Dense,1024,64,2,0.35185185185185186,0.5694444444444451,ffMem,abalone
16,16,4,leakyrelu,Dense,1024,64,3,0.3076923076923077,0.5517676767676781,ffMem,abalone
16,16,4,leakyrelu,Dense,1024,64,4,0.1774193548387097,0.6045875420875404,ffMem,abalone
