hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,1.0,3,0.8793503480278422,0.988399071925754,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,4,0.8932714617169374,0.988399071925754,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,5,0.9071925754060325,0.988399071925754,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,1,0.7331786542923434,0.9303944315545244,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,2,0.7099767981438515,0.9303944315545244,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,3,0.7053364269141531,0.9303944315545244,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,4,0.7122969837587008,0.9303944315545244,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,5,0.7262180974477959,0.9303944315545244,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,1,0.6705336426914152,0.9837587006960556,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,2,0.6937354988399071,0.9837587006960556,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,3,0.7192575406032482,0.9837587006960556,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,4,0.740139211136891,0.9837587006960556,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,5,0.7726218097447796,0.9837587006960556,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,1.0,1,0.8654292343387471,0.9814385150812065,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,2,0.8839907192575406,0.9814385150812065,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,3,0.8863109048723898,0.9814385150812065,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,4,0.8723897911832946,0.9814385150812065,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,5,0.8723897911832946,0.9814385150812065,0.005,1,0.5,svae,abalone
32,8,3,relu,Dense,1.0,1,0.9489559164733179,0.9860788863109049,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,2,0.9327146171693735,0.9860788863109049,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,3,0.925754060324826,0.9860788863109049,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,4,0.9118329466357309,0.9860788863109049,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,1.0,5,0.9025522041763341,0.9860788863109049,0.005,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,1,0.44547563805104406,0.9860788863109049,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,2,0.39907192575406036,0.9860788863109049,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,3,0.271461716937355,0.9860788863109049,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,4,0.3132250580046404,0.9860788863109049,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,5,0.3735498839907193,0.9860788863109049,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,1,0.6403712296983759,0.9721577726218098,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,2,0.48259860788863107,0.9721577726218098,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,3,0.4385150812064965,0.9721577726218098,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,4,0.43619489559164737,0.9721577726218098,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,5,0.4292343387470998,0.9721577726218098,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,1,0.9025522041763341,0.974477958236659,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,2,0.9280742459396751,0.974477958236659,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,3,0.9187935034802784,0.974477958236659,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,4,0.8979118329466358,0.974477958236659,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,5,0.9048723897911833,0.974477958236659,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,1,0.07888631090487241,0.9837587006960556,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,2,0.10904872389791187,0.9837587006960556,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,3,0.11136890951276102,0.9837587006960556,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,4,0.11368909512761016,0.9837587006960556,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,5,0.09744779582366592,0.9837587006960556,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,1,0.5127610208816705,0.9837587006960556,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,2,0.5011600928074246,0.9837587006960556,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,3,0.4756380510440835,0.9837587006960556,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,4,0.4524361948955916,0.9837587006960556,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,5,0.39443155452436196,0.9837587006960556,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,10.0,1,0.30626450116009285,0.9791183294663574,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,2,0.21577726218097448,0.9791183294663574,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,3,0.23665893271461713,0.9791183294663574,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,4,0.26450116009280744,0.9791183294663574,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,5,0.3178654292343387,0.9791183294663574,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,10.0,1,0.0,0.9814385150812065,0.005,1,0.25,svae,abalone
32,8,3,relu,Dense,10.0,2,0.00696055684454755,0.9814385150812065,0.005,1,0.25,svae,abalone
