hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.9270833333333337,20.83917808532715,21.716907501220703,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.9027777777777779,20.83917808532715,21.716907501220703,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.0,0.7777777777777779,20.83917808532715,21.716907501220703,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,1,0.0,0.885416666666667,-20.17755126953125,-17.859214782714844,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.8958333333333337,-20.17755126953125,-17.859214782714844,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.916666666666667,-20.17755126953125,-17.859214782714844,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.0,0.916666666666667,-20.17755126953125,-17.859214782714844,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.9444444444444446,-20.17755126953125,-17.859214782714844,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.9236111111111115,-22.393983840942383,-5.266720771789551,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.9340277777777781,-22.393983840942383,-5.266720771789551,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.9409722222222225,-22.393983840942383,-5.266720771789551,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.9062500000000003,-22.393983840942383,-5.266720771789551,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.9201388888888893,-22.393983840942383,-5.266720771789551,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9583333333333337,-18.353824615478516,-14.053184509277344,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9548611111111115,-18.353824615478516,-14.053184509277344,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9062500000000003,-18.353824615478516,-14.053184509277344,vae,breast-cancer-wisconsin
