dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3,knnauc
musk-2,best,0.05,3,0.4843923101987618,0.5425323617405728,0.704930537041974,0.6280175176244394
musk-2,best,0.05,4,0.4843923101987618,0.5382268432121805,0.708257057377292,0.6280175176244394
musk-2,best,0.05,5,0.4843923101987618,0.5451627714091056,0.7020098344145265,0.6280175176244394
musk-2,best,0.05,6,0.4843923101987618,0.5492609378239877,0.7215542521994134,0.6280175176244394
musk-2,best,0.05,7,0.4843923101987618,0.5396546106223525,0.7535131372374775,0.6280175176244394
musk-2,best,0.05,8,0.4843923101987618,0.5424286856838176,0.7432803104357355,0.6280175176244394
musk-2,best,0.05,9,0.4843923101987618,0.5661497674694156,0.735940045617465,0.6280175176244394
musk-2,best,0.05,10,0.4843923101987618,0.5594982078853047,0.7559969193400278,0.6280175176244394
page-blocks,rnd,0.05,1,0.9400838056484038,0.8592807892909622,0.7612160700156632,0.9500268008081475
page-blocks,rnd,0.05,2,0.9400838056484038,0.8978168547853187,0.8374243084822941,0.9500268008081475
page-blocks,rnd,0.05,3,0.9400838056484038,0.9146684105992346,0.8637027886773561,0.9500268008081475
page-blocks,rnd,0.05,4,0.9400838056484038,0.9356795685381647,0.8889801223982303,0.9500268008081475
page-blocks,rnd,0.05,5,0.9400838056484038,0.9416202425358071,0.905163170727769,0.9500268008081475
page-blocks,rnd,0.05,6,0.9400838056484038,0.9435095028177429,0.900302766070823,0.9500268008081475
page-blocks,rnd,0.05,7,0.9400838056484038,0.9481486863989407,0.9107954270212664,0.9500268008081475
page-blocks,rnd,0.05,8,0.9400838056484038,0.9543444912722634,0.9063710055063054,0.9500268008081475
page-blocks,rnd,0.05,9,0.9400838056484038,0.954405851862617,0.9080471184743819,0.9500268008081475
page-blocks,rnd,0.05,10,0.9400838056484038,0.9567230215246493,0.9133515800352014,0.9500268008081475
page-blocks,best,0.05,1,0.9400838056484038,0.855377932794006,0.7706252321206543,0.9500268008081475
page-blocks,best,0.05,2,0.9400838056484038,0.8736310936717853,0.7998845452049927,0.9500268008081475
page-blocks,best,0.05,3,0.9400838056484038,0.8697815240032941,0.8017576579631512,0.9500268008081475
page-blocks,best,0.05,4,0.9400838056484038,0.8727284470926383,0.7994792423581843,0.9500268008081475
page-blocks,best,0.05,5,0.9400838056484038,0.8795540053932729,0.8106727058405594,0.9500268008081475
page-blocks,best,0.05,6,0.9400838056484038,0.880765069676565,0.8121033764472217,0.9500268008081475
page-blocks,best,0.05,7,0.9400838056484038,0.8785011868429976,0.803215779360235,0.9500268008081475
page-blocks,best,0.05,8,0.9400838056484038,0.8796331282597812,0.8133095964733809,0.9500268008081475
page-blocks,best,0.05,9,0.9400838056484038,0.8815256180464726,0.8050129987566408,0.9500268008081475
page-blocks,best,0.05,10,0.9400838056484038,0.8875567181772676,0.810330378336482,0.9500268008081475
parkinsons,rnd,0.05,1,0.803448275862069,0.8741379310344828,0.8580459770114943,0.8372747747747749
parkinsons,rnd,0.05,2,0.803448275862069,0.910919540229885,0.9080459770114941,0.8372747747747749
parkinsons,rnd,0.05,3,0.803448275862069,0.9252873563218392,0.9287356321839081,0.8372747747747749
parkinsons,rnd,0.05,4,0.803448275862069,0.9304597701149426,0.9344827586206896,0.8372747747747749
parkinsons,rnd,0.05,5,0.803448275862069,0.9425287356321839,0.9373563218390805,0.8372747747747749
