dataset,prname,k,auc,anom_ratio
breast-tissue,px_γ,15,0.98125,0.005
breast-tissue,px_κ,21,0.9359375,0.005
breast-tissue,px_δ,21,0.7078125,0.005
breast-tissue,px_γ,21,0.9703125,0.005
breast-tissue,px_κ,29,0.9328125,0.005
breast-tissue,px_δ,29,0.721875,0.005
breast-tissue,px_γ,29,0.9609375,0.005
breast-tissue,px_κ,39,0.9375,0.005
breast-tissue,px_δ,39,0.7453125,0.005
breast-tissue,px_γ,39,0.9484375,0.005
cardiotocography,px_κ,1,0.4644013828238719,0.05
cardiotocography,px_δ,1,0.6107896652110625,0.05
cardiotocography,px_γ,1,0.4644013828238719,0.05
cardiotocography,px_κ,3,0.3962336244541485,0.05
cardiotocography,px_δ,3,0.6386220281416788,0.05
cardiotocography,px_γ,3,0.42132459970887914,0.05
cardiotocography,px_κ,5,0.37210698689956323,0.05
cardiotocography,px_δ,5,0.661851043182921,0.05
cardiotocography,px_γ,5,0.40095220766618145,0.05
cardiotocography,px_κ,9,0.3659631246967491,0.05
cardiotocography,px_δ,9,0.6834364386220281,0.05
cardiotocography,px_γ,9,0.3823447355652595,0.05
cardiotocography,px_κ,15,0.37117903930131,0.05
cardiotocography,px_δ,15,0.6992054827753518,0.05
cardiotocography,px_γ,15,0.3739689471130519,0.05
cardiotocography,px_κ,21,0.3723495875788453,0.05
cardiotocography,px_δ,21,0.7063440077632217,0.05
cardiotocography,px_γ,21,0.37139737991266375,0.05
cardiotocography,px_κ,29,0.38035995875788453,0.05
cardiotocography,px_δ,29,0.7088261159631247,0.05
cardiotocography,px_γ,29,0.3760083090732654,0.05
cardiotocography,px_κ,39,0.38452207666181465,0.05
cardiotocography,px_δ,39,0.7147622513343038,0.05
cardiotocography,px_γ,39,0.3766678796700631,0.05
cardiotocography,px_κ,1,0.572449660359049,0.01
cardiotocography,px_δ,1,0.6145075206210577,0.01
cardiotocography,px_γ,1,0.572449660359049,0.01
cardiotocography,px_κ,3,0.4740720524017467,0.01
cardiotocography,px_δ,3,0.6417333818534692,0.01
cardiotocography,px_γ,3,0.5125970402717128,0.01
cardiotocography,px_κ,5,0.458036147501213,0.01
cardiotocography,px_δ,5,0.6648289665211061,0.01
cardiotocography,px_γ,5,0.48808224163027647,0.01
cardiotocography,px_κ,9,0.44721615720524016,0.01
cardiotocography,px_δ,9,0.6836608442503639,0.01
cardiotocography,px_γ,9,0.46958393983503155,0.01
cardiotocography,px_κ,15,0.4353074963609898,0.01
cardiotocography,px_δ,15,0.6932071809801068,0.01
cardiotocography,px_γ,15,0.45556768558951954,0.01
cardiotocography,px_κ,21,0.43329694323144113,0.01
cardiotocography,px_δ,21,0.7015829694323146,0.01
cardiotocography,px_γ,21,0.44796821931101405,0.01
cardiotocography,px_κ,29,0.4380337214944202,0.01
cardiotocography,px_δ,29,0.7085092188258127,0.01
cardiotocography,px_γ,29,0.44306768558951964,0.01
cardiotocography,px_κ,39,0.4425400291120815,0.01
cardiotocography,px_δ,39,0.7114446870451239,0.01
cardiotocography,px_γ,39,0.44217006307617657,0.01
cardiotocography,px_κ,1,0.5993328481319747,0.005
cardiotocography,px_δ,1,0.6018377001455605,0.005
cardiotocography,px_γ,1,0.5993328481319747,0.005
cardiotocography,px_κ,3,0.4945960698689956,0.005
cardiotocography,px_δ,3,0.6330149199417758,0.005
cardiotocography,px_γ,3,0.5375727802037845,0.005
cardiotocography,px_κ,5,0.47012372634643385,0.005
cardiotocography,px_δ,5,0.6513282387190685,0.005
cardiotocography,px_γ,5,0.507787481804949,0.005
cardiotocography,px_κ,9,0.46640587093643865,0.005
cardiotocography,px_δ,9,0.6734594856865599,0.005
cardiotocography,px_γ,9,0.4882217370208638,0.005
cardiotocography,px_κ,15,0.4554342552159147,0.005
