hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,wass,0,0.7172146636432349,1,svae,wall-following-robot Move-Forward-Slight-Left-Turn
32,3,3,relu,Dense,0.01,m1,0,0.7047660527625684,1,svae,wall-following-robot Move-Forward-Slight-Left-Turn
32,3,3,relu,Dense,0.01,wass,0,0.9639585342333656,1,svae,waveform-1 2-1
32,3,3,relu,Dense,0.01,m1,0,0.9712980820743597,1,svae,waveform-1 2-1
32,3,3,relu,Dense,0.01,wass,0,0.8478544501777932,1,svae,waveform-2 0-2
32,3,3,relu,Dense,0.01,m1,0,0.8580363428958462,1,svae,waveform-2 0-2
32,3,3,relu,Dense,0.01,wass,0,0.7954198249015806,1,svae,yeast CYT-MIT
32,3,3,relu,Dense,0.01,m1,0,0.8018684999118632,1,svae,yeast CYT-MIT
32,3,3,relu,Dense,0.01,wass,0,0.6137888395952912,1,svae,yeast CYT-NUC
32,3,3,relu,Dense,0.01,m1,0,0.6034288292352809,1,svae,yeast CYT-NUC
32,3,3,relu,Dense,0.01,wass,0,0.7574942978168785,1,svae,yeast CYT-ME1
32,3,3,relu,Dense,0.01,m1,0,0.7538286086673184,1,svae,yeast CYT-ME1
32,3,3,relu,Dense,0.01,wass,0,0.38627752176139274,1,svae,yeast CYT-EXC
32,3,3,relu,Dense,0.01,m1,0,0.4767025089605735,1,svae,yeast CYT-EXC
32,3,3,relu,Dense,0.01,wass,0,0.4551971326164874,1,svae,yeast CYT-ME2
32,3,3,relu,Dense,0.01,m1,0,0.47557804483800686,1,svae,yeast CYT-ME2
32,3,3,relu,Dense,0.01,wass,0,0.8223937374936781,1,svae,yeast CYT-ME3
32,3,3,relu,Dense,0.01,m1,0,0.7917188908679113,1,svae,yeast CYT-ME3
32,3,3,relu,Dense,0.01,wass,0,0.41362007168458775,1,svae,yeast CYT-VAC
32,3,3,relu,Dense,0.01,m1,0,0.4142174432497013,1,svae,yeast CYT-VAC
32,3,3,relu,Dense,0.01,wass,0,0.7589605734767025,1,svae,yeast CYT-POX
32,3,3,relu,Dense,0.01,m1,0,0.7697132616487455,1,svae,yeast CYT-POX
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,yeast CYT-ERL
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,yeast CYT-ERL
32,3,3,relu,Dense,0.01,wass,0,0.86045197740113,1,svae,wine 2-1
32,3,3,relu,Dense,0.01,m1,0,0.8830508474576272,1,svae,wine 2-1
32,3,3,relu,Dense,0.1,wass,0,0.8347909378644011,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,m1,0,0.8748125937031485,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,wass,0,0.4633014817892258,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.1,m1,0,0.3301654895443844,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.1,wass,0,0.8002202169943066,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.1,m1,0,0.06974433344075624,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.1,wass,0,0.8468113658906588,1,svae,cardiotocography 2-10
32,3,3,relu,Dense,0.1,m1,0,0.8687933951805823,1,svae,cardiotocography 2-10
