hidden,latent,layers,nonlinearity,layertype,β,aucpxv,aucpz,ar,i,model,dataset
32,8,3,relu,Dense,0.01,0.8441558442,0.8571428570999999,0.05,6,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.961038961,0.05194805189999996,0.01,6,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.961038961,1.0,0.005,6,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.961038961,0.4025974026,0.05,6,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.961038961,0.6493506494,0.01,6,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.9740259739999999,0.7012987013,0.005,6,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.16883116880000004,0.8441558442,0.05,6,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9350649351,0.8571428570999999,0.01,6,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.987012987,0.32467532470000005,0.005,6,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.6493506494,0.8571428570999999,0.05,6,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9480519481,0.7012987013,0.01,6,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9090909091,0.5584415584,0.005,6,svae,blood-transfusion
32,8,3,relu,Dense,0.01,1.0,0.6493506494,0.05,7,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.9350649351,0.5974025974,0.01,7,svae,blood-transfusion
32,8,3,relu,Dense,0.01,1.0,0.9090909091,0.005,7,svae,blood-transfusion
32,8,3,relu,Dense,0.1,1.0,0.2467532468,0.05,7,svae,blood-transfusion
32,8,3,relu,Dense,0.1,1.0,0.0,0.01,7,svae,blood-transfusion
32,8,3,relu,Dense,0.1,1.0,0.9350649351,0.005,7,svae,blood-transfusion
32,8,3,relu,Dense,1.0,1.0,0.6623376623,0.05,7,svae,blood-transfusion
32,8,3,relu,Dense,1.0,1.0,0.6753246753000001,0.01,7,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9350649351,0.6753246753000001,0.005,7,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9740259739999999,0.9090909091,0.05,7,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.8701298701,0.9740259739999999,0.01,7,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.8051948052,0.6883116883,0.005,7,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.8051948052,0.9090909091,0.05,8,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.9740259739999999,0.07792207790000005,0.01,8,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.7272727272999999,0.42857142859999997,0.005,8,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.1558441558,0.0,0.05,8,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.961038961,0.23376623379999995,0.01,8,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.8441558442,0.4415584416,0.005,8,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9090909091,0.9090909091,0.05,8,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.9740259739999999,0.8441558442,0.01,8,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.29870129869999995,0.9220779221,0.005,8,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9740259739999999,0.9090909091,0.05,8,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.9740259739999999,0.8311688312000001,0.01,8,svae,blood-transfusion
32,8,3,relu,Dense,10.0,0.07792207790000005,0.6493506494,0.005,8,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.27272727269999997,0.4935064935,0.05,9,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.6493506494,0.8961038961000001,0.01,9,svae,blood-transfusion
32,8,3,relu,Dense,0.01,0.5974025974,0.16883116880000004,0.005,9,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.7532467532,0.025974025999999983,0.05,9,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.987012987,0.45454545449999995,0.01,9,svae,blood-transfusion
32,8,3,relu,Dense,0.1,0.9090909091,0.27272727269999997,0.005,9,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.961038961,0.9220779221,0.05,9,svae,blood-transfusion
32,8,3,relu,Dense,1.0,0.987012987,0.9220779221,0.01,9,svae,blood-transfusion
