hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,3,0.327272727,0.888731864,0.209558582,0.25669834,0.661437724,1,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.125,0.82537215,0.229748066,0.271132363,0.561051441,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.408163265,0.906444319,0.246873964,0.312497644,0.667467496,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.170212766,0.763001696,0.197890763,0.236950284,0.663651781,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.377358491,0.872715282,0.208741725,0.212127095,0.628273978,0.666666667,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.307692308,0.842849067,0.213435895,0.256626615,0.645374034,0,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.102564103,0.864047484,0.254078645,0.322429934,0.667938572,0.75,0.103448276,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.290322581,0.913416243,0.278811488,0.331877831,0.67816092,1,0.103448276,0.01,1,svae,cardiotocography,Better,0.871057094,0.054026899,0.658832674,0.042401964
32,8,3,relu,Dense,32,16,0.1,4,0.246153846,0.893725269,0.217845172,0.29512885,0.697239495,1,0.137931034,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.419753086,0.922743546,0.235883049,0.365145265,0.717731298,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.356164384,0.894761636,0.209558582,0.25669834,0.661437724,1,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.262295082,0.858017712,0.229748066,0.271132363,0.561051441,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.32,0.890616167,0.246873964,0.312497644,0.667467496,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.125,0.736574336,0.197890763,0.236950284,0.663651781,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.323529412,0.892029395,0.208741725,0.212127095,0.628273978,0.666666667,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.309859155,0.830977954,0.213435895,0.256626615,0.645374034,0,0,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.186046512,0.877708687,0.254078645,0.322429934,0.667938572,0.75,0.103448276,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.378378378,0.920670812,0.278811488,0.331877831,0.67816092,1,0.103448276,0.01,1,svae,cardiotocography,Better,0.882419446,0.041783176,0.658832674,0.042401964
32,8,3,relu,Dense,32,16,0.1,5,0.444444444,0.907951762,0.217845172,0.29512885,0.697239495,1,0.137931034,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.432432432,0.912474091,0.235883049,0.365145265,0.717731298,0.5,0.034482759,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.358974359,0.879498775,0.209558582,0.25669834,0.661437724,1,0.068965517,0.01,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.352941176,0.852882985,0.229748066,0.271132363,0.561051441,NaN,0,0.01,1,svae,cardiotocography,Better,,,,
